State,Ab,Population (2012-2014),Population (2016),TOS_Rate,TOS_Norm,MDE_Rate,MDE_Norm,AMI_Rate,AMI_Norm,SMI_Rate,SMI_Norm,S_Deaths,S_Rate,S_Norm,H_Deaths,H_Rate,H_Norm,F_Deaths,F_Rate,F_Norm,MS,MS_Rate,MS_Norm
Alabama,AL,"14,505,122",4849377,0.0374,0.189781022,0.0661,0.369636964,0.1945,0.525399129,0.0421,0.405405405,915,6.3,0.662921348,"1,483",10.2,0.611940299,2398,16.5,0.894736842,8,0.551529315,0.332764948
Alaska,AK,"2,203,313",736732,0.0424,0.554744526,0.0691,0.468646865,0.1873,0.420899855,0.0418,0.391891892,57,2.6,0.247191011,333,15.1,0.97761194,390,17.7,0.973684211,1,0.45386198,0.273837408
Arizona,AZ,"19,911,363",6731484,0.0415,0.489051095,0.0712,0.537953795,0.1842,0.375907112,0.0425,0.423423423,717,3.6,0.359550562,"2,001",10,0.597014925,2718,13.6,0.703947368,9,0.45200321,0.272715921
Arkansas,AR,"8,874,873",2966369,0.0445,0.708029197,0.0717,0.554455446,0.2013,0.624092888,0.052,0.851351351,479,5.4,0.561797753,952,10.7,0.649253731,1431,16.1,0.868421053,2,0.225355337,0.135968035
California,CA,"115,176,451",38802500,0.0376,0.204379562,0.0646,0.320132013,0.1852,0.3904209,0.0379,0.216216216,"3,907",3.4,0.337078652,"4,702",4.1,0.156716418,8609,7.5,0.302631579,90,0.781409735,0.47146319
Colorado,CO,"15,811,815",5355866,0.0401,0.386861314,0.063,0.267326733,0.1767,0.267053701,0.039,0.265765766,323,2,0.179775281,"1,561",9.9,0.589552239,1884,11.9,0.592105263,5,0.316219232,0.190790723
Connecticut,CT,"10,783,104",3596677,0.0355,0.051094891,0.0624,0.247524752,0.1684,0.14658926,0.0343,0.054054054,238,2.2,0.202247191,328,3,0.074626866,566,5.2,0.151315789,5,0.463688378,0.279766161
Delaware,DE,"2,778,455",935614,0.0385,0.270072993,0.0692,0.471947195,0.189,0.445573295,0.0399,0.306306306,122,4.4,0.449438202,165,5.9,0.291044776,287,10.3,0.486842105,4,1.439649014,0.868611544
Florida,FL,"58,763,725",19893297,0.0348,0,0.0591,0.138613861,0.1646,0.091436865,0.0386,0.247747748,"2,496",4.2,0.426966292,"4,654",7.9,0.440298507,7150,12.1,0.605263158,43,0.731743946,0.44149736
Georgia,GA,"30,009,455",10097343,0.0391,0.313868613,0.0664,0.379537954,0.1852,0.3904209,0.0399,0.306306306,"1,459",4.9,0.505617978,"2,338",7.8,0.432835821,3797,12.7,0.644736842,26,0.866393608,0.522738169
